,Time,HR
0,01-12-2021 15:25:21.522230,58.17913
1,01-12-2021 15:26:02.039730,61.9326
2,01-12-2021 15:26:02.852270,73.84275
3,01-12-2021 15:26:03.727310,68.56825
4,01-12-2021 15:26:04.664850,63.99704
5,01-12-2021 15:26:05.508640,71.10782
6,01-12-2021 15:26:06.414930,66.20383
7,01-12-2021 15:26:07.368100,62.94789
8,01-12-2021 15:26:08.290020,65.08173
9,01-12-2021 15:26:09.461950,51.19764
10,01-12-2021 15:26:10.571370,54.082
11,01-12-2021 15:26:57.886070,63.99704
12,01-12-2021 15:26:58.823610,63.99704
13,01-12-2021 15:26:59.714280,67.3653
14,01-12-2021 15:27:25.309210,68.56825
15,01-12-2021 15:27:35.762820,93.65421
16,01-12-2021 15:27:36.622230,69.81495
17,01-12-2021 15:27:37.544150,65.08173
18,01-12-2021 15:27:50.997900,57.31077
19,01-12-2021 15:27:52.013570,59.07419
20,01-12-2021 15:27:53.060500,57.31078
21,01-12-2021 15:27:54.044920,60.94955
22,01-12-2021 15:27:55.013710,61.93262
23,01-12-2021 15:28:36.328120,59.99723
24,01-12-2021 15:28:37.375050,57.31078
25,01-12-2021 15:28:38.359470,60.94955
26,01-12-2021 15:28:39.312640,62.94791
27,01-12-2021 15:28:40.234560,65.08173
28,01-12-2021 15:28:41.203350,61.93262
29,01-12-2021 15:28:42.265900,56.46798
30,01-12-2021 15:29:48.347080,93.65418
31,01-12-2021 15:30:47.006050,89.2982
32,01-12-2021 15:31:41.414820,69.81495
33,01-12-2021 15:32:28.651380,57.31077
34,01-12-2021 15:32:29.417040,78.36371
35,01-12-2021 15:32:30.260830,71.10783
36,01-12-2021 15:32:31.151500,67.3653
37,01-12-2021 15:32:32.214050,56.46796
38,01-12-2021 15:32:33.073460,69.81495
39,01-12-2021 15:32:33.839120,78.36371
40,01-12-2021 15:32:34.729790,67.3653
41,01-12-2021 15:32:35.401700,89.2982
42,01-12-2021 15:32:36.120480,83.47439
43,01-12-2021 15:32:36.901770,76.79646
